Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,32.2293,Invalid
TST-0006,18.8316,Valid
TST-0047,60.738,Valid
TST-0311,26.0013,Valid
TST-0264,23.9697,Invalid
TST-0169,19.9818,Valid
TST-0269,18.1795,Valid
TST-0178,15.4629,Invalid
TST-0206,32.5534,Valid
TST-0038,18.2791,Valid
TST-0213,13.8519,Invalid
TST-0309,16.3435,Valid
TST-0059,33.3016,Valid
TST-0159,18.5989,Valid
TST-0235,20.0408,Valid
TST-0230,20.8327,Valid
TST-0323,35.8991,Valid
TST-0262,18.7419,Valid
TST-0274,14.1774,Valid
TST-0214,48.2832,Valid
TST-0024,40.0,Valid
TST-0234,17.3253,Valid
TST-0333,22.354,Valid
TST-0060,20.4784,Valid
TST-0226,36.029,Valid
TST-0197,16.1896,Valid
TST-0346,41.8694,Valid
TST-0192,27.0271,Valid
TST-0141,29.7965,Valid
TST-0222,39.115,Invalid
TST-0232,19.3712,Valid
TST-0085,24.4113,Valid
TST-0237,32.6228,Valid
TST-0001,37.3515,Valid
TST-0069,16.5583,Valid
TST-0272,23.5038,Valid
TST-0343,33.8929,Valid
TST-0320,26.8972,Valid
TST-0008,31.5104,Invalid
TST-0144,23.1637,Valid
TST-0184,22.2464,Valid
TST-0107,59.3599,Valid
TST-0026,41.9457,Valid
TST-0164,43.3577,Valid
TST-0217,31.9699,Valid
TST-0332,30.5232,Invalid
TST-0279,23.8616,Valid
TST-0243,18.3416,Valid
TST-0163,19.735,Valid
TST-0131,29.3855,Valid
TST-0070,16.1747,Valid
TST-0137,18.9193,Valid
TST-0210,30.0402,Valid
TST-0288,20.8376,Valid
TST-0248,17.9751,Valid
TST-0277,21.9956,Invalid
TST-0215,21.6655,Valid
TST-0138,16.0327,Valid
TST-0228,17.5699,Valid
TST-0252,48.6089,Valid
TST-0205,30.0539,Valid
TST-0348,22.7376,Valid
TST-0177,22.6187,Valid
TST-0267,37.8295,Valid
TST-0308,23.4321,Valid
TST-0087,46.5995,Invalid
TST-0117,16.8525,Valid
TST-0014,18.5679,Valid
TST-0154,23.8971,Valid
TST-0207,46.8591,Valid
TST-0187,21.9655,Valid
TST-0236,21.2329,Valid
TST-0283,37.4071,Invalid
TST-0089,18.3233,Valid
TST-0202,22.779,Valid
TST-0160,18.6664,Valid
TST-0036,25.8847,Valid
TST-0275,47.1289,Valid
TST-0023,33.9444,Valid
TST-0091,42.2449,Valid
TST-0151,42.9435,Valid
TST-0310,22.7,Valid
TST-0239,15.2259,Valid
TST-0331,32.8148,Valid
TST-0316,13.4292,Invalid
TST-0338,14.013,Valid
TST-0019,20.1899,Valid
TST-0168,13.5647,Invalid
TST-0007,18.3651,Valid
TST-0211,32.3375,Valid
TST-0016,35.7477,Valid
TST-0027,19.4428,Invalid
TST-0031,16.7543,Invalid
TST-0249,29.1989,Valid
TST-0011,16.2052,Valid
TST-0080,23.6027,Invalid
TST-0121,16.7273,Valid
